Date,,Road,efficiency
2014/10/3,, 立功路,0.52016129
2014/10/4,, 立功路,0.086021505
2014/10/6,, 立功路,0.584677419
2014/10/7,, 立功路,0.576612903
2014/10/8,, 立功路,0.491935484
2014/10/9,, 立功路,0.487903226
2014/10/13,, 立功路,0.72983871
2014/10/14,, 立功路,0.705645161
2014/10/15,, 立功路,0.243951613
2014/10/16,, 立功路,0.733870968
2014/10/17,, 立功路,0.649193548
2014/10/18,, 立功路,0.151209677
2014/10/20,, 立功路,0.338709677
2014/10/21,, 立功路,0.381048387
2014/10/22,, 立功路,0.348790323
2014/10/23,, 立功路,0.596774194
2014/10/24,, 立功路,0.705645161
2014/10/25,, 立功路,0.094086022
2014/10/27,, 立功路,0.205645161
2014/10/28,, 立功路,0.600806452
2014/10/29,, 立功路,0.350806452
2014/10/30,, 立功路,0.346774194
2014/10/31,, 立功路,0.649193548
2014/11/1,, 立功路,0.116935484
2014/11/3,, 立功路,0.385080645
2014/11/4,, 立功路,0.368951613
2014/11/5,, 立功路,0.685483871
2014/11/6,, 立功路,0.348790323
2014/11/7,, 立功路,0.463709677
2014/11/8,, 立功路,0.09811828
2014/11/10,, 立功路,0.189516129
2014/11/11,, 立功路,0.256048387
2014/11/12,, 立功路,0.435483871
2014/11/13,, 立功路,0.20766129
2014/11/14,, 立功路,0.495967742
2014/11/15,, 立功路,0.189516129
2014/11/17,, 立功路,0.209677419
2014/11/18,, 立功路,0.16733871
2014/11/19,, 立功路,0.13172043
2014/11/20,, 立功路,0.64516129
2014/11/21,, 立功路,0.215053763
2014/11/22,, 立功路,0.130376344
2014/11/24,, 立功路,0.174395161
2014/11/25,, 立功路,0.316532258
2014/11/26,, 立功路,0.165322581
2014/11/27,, 立功路,0.657258065
2014/11/28,, 立功路,0.165322581
2014/12/1,, 立功路,0.810483871
2014/12/2,, 立功路,0.778225806
2014/12/3,, 立功路,0.364919355
2014/12/4,, 立功路,0.701612903
2014/12/5,, 立功路,0.721774194
2014/12/6,, 立功路,0.166666667
2014/12/8,, 立功路,0.625
2014/12/9,, 立功路,0.794354839
2014/12/10,, 立功路,0.741935484
2014/12/11,, 立功路,0.409274194
2014/12/12,, 立功路,0.782258065
2014/12/13,, 立功路,0.119623656
2014/12/15,, 立功路,0.745967742
2014/12/16,, 立功路,0.368951613
2014/12/17,, 立功路,0.625
2014/12/18,, 立功路,0.830645161
2014/12/19,, 立功路,0.77016129
2014/12/20,, 立功路,0.260080645
2014/12/22,, 立功路,0.340725806
2014/12/23,, 立功路,0.352822581
2014/12/24,, 立功路,0.77016129
2014/12/25,, 立功路,0.653225806
2014/12/26,, 立功路,0.891129032
2014/12/27,, 立功路,0.399193548
2014/12/29,, 立功路,0.709677419
2014/12/30,, 立功路,0.370967742
2014/12/31,, 立功路,0.399193548
2015/1/5,, 立功路,0.447580645
2015/1/6,, 立功路,0.411290323
2015/1/7,, 立功路,0.284946237
2015/1/8,, 立功路,0.4375
2015/1/9,, 立功路,0.830645161
2015/1/10,, 立功路,0.158602151
2015/1/12,, 立功路,0.407258065
2015/1/13,, 立功路,0.299731183
2015/1/14,, 立功路,0.489919355
2015/1/15,, 立功路,0.274193548
2015/1/16,, 立功路,0.445564516
2015/1/17,, 立功路,0.235887097
2015/1/19,, 立功路,0.291666667
2015/1/20,, 立功路,0.429435484
2015/1/21,, 立功路,0.433467742
2015/1/22,, 立功路,0.419354839
2015/1/23,, 立功路,0.453629032
2015/1/24,, 立功路,0.245967742
2015/1/26,, 立功路,0.279569892
2015/1/27,, 立功路,0.27016129
2015/1/28,, 立功路,0.4375
2015/1/29,, 立功路,0.411290323
2015/1/30,, 立功路,0.299731183
2015/1/31,, 立功路,0.185483871
2015/2/2,, 立功路,0.266129032
2015/2/3,, 立功路,0.4375
2015/2/4,, 立功路,0.294354839
2015/2/5,, 立功路,0.271505376
2015/2/6,, 立功路,0.389112903
2015/2/7,, 立功路,0.276209677
2015/2/9,, 立功路,0.41733871
2015/2/10,, 立功路,0.274193548
2015/2/11,, 立功路,0.85483871
2015/2/12,, 立功路,0.830645161
2015/2/13,, 立功路,0.413306452
2015/2/14,, 立功路,0.243951613
2015/2/16,, 立功路,0.741935484
2015/2/17,, 立功路,0.794354839
2015/2/24,, 立功路,0.741935484
2015/2/25,, 立功路,0.275537634
2015/2/26,, 立功路,0.280913978
2015/3/2,, 立功路,0.23655914
2015/3/3,, 立功路,0.227150538
2015/3/4,, 立功路,0.75
2015/3/5,, 立功路,0.294354839
